row_id,entity_id,timestamp,split,feature_linear,feature_corr,feature_big_scale,feature_small_scale,sensor_value,category,text_note,target
1,1000,2024-01-01,train,-0.151295,-0.325499,9689.140238,0.029459,47.735,B,Entity 1000 in train had activity level -0.151 and category B.,1
2,1001,2024-01-02,train,0.57107,1.136138,34670.19012,0.001061,43.277,A,Entity 1001 in train had activity level 0.571 and category A.,0
3,1002,2024-01-03,train,0.04374,0.059714,18432.17497,0.01361,38.582,A,Entity 1002 in train had activity level 0.044 and category A.,0
4,1003,2024-01-04,train,0.396373,0.92522,3557.646898,0.032285,34.32,B,Entity 1003 in train had activity level 0.396 and category B.,0
5,1004,2024-01-05,train,0.697479,1.057014,25271.644088,0.028183,42.443,A,Entity 1004 in train had activity level 0.697 and category A.,0
6,1005,2024-01-06,train,0.415157,0.931786,17475.739319,0.025427,44.048,A,Entity 1005 in train had activity level 0.415 and category A.,0
7,1006,2024-01-07,train,-0.860257,-1.876241,23354.625816,0.006536,48.99,A,Entity 1006 in train had activity level -0.860 and category A.,0
8,1007,2024-01-08,train,-1.032322,-1.751775,2556.510265,0.009162,40.689,A,Entity 1007 in train had activity level -1.032 and category A.,0
9,1008,2024-01-09,train,0.650966,1.102767,6175.093132,0.036582,43.081,A,Entity 1008 in train had activity level 0.651 and category A.,0
10,1009,2024-01-10,train,1.347707,2.15556,3668.720405,0.015976,54.144,A,Entity 1009 in train had activity level 1.348 and category A.,1
11,1010,2024-01-11,train,1.138978,2.360597,14239.42993,0.002541,43.64,A,Entity 1010 in train had activity level 1.139 and category A.,0
12,1011,2024-01-12,train,-0.508466,-0.615612,12151.353095,0.027268,42.897,A,Entity 1011 in train had activity level -0.508 and category A.,0
13,1012,2024-01-13,train,-2.494666,-4.583454,18881.336883,0.020023,35.54,A,Entity 1012 in train had activity level -2.495 and category A.,0
14,1013,2024-01-14,train,-0.642482,-1.318869,7523.790606,0.0305,,A,Entity 1013 in train had activity level -0.642 and category A.,0
15,1014,2024-01-15,train,2.397603,4.617231,42436.593626,0.012301,45.849,A,Entity 1014 in train had activity level 2.398 and category A.,1
16,1015,2024-01-16,train,-0.145387,0.061146,22080.769578,0.030633,38.976,A,Entity 1015 in train had activity level -0.145 and category A.,0
17,1016,2024-01-17,train,-0.641576,-1.148508,2255.383753,0.008046,41.424,A,Entity 1016 in train had activity level -0.642 and category A.,0
18,1017,2024-01-18,train,-0.911578,-1.618261,17707.351629,0.013523,42.843,B,Entity 1017 in train had activity level -0.912 and category B.,0
19,1018,2024-01-19,train,0.300842,1.045214,13818.72557,0.00952,44.511,B,Entity 1018 in train had activity level 0.301 and category B.,0
